username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
WXReese,"Weekday morning meteorologist for CBS19 in Charlottesville, VA! I'm also a big fan of Florida State, the Pittsburgh Steelers and weather of all types!","Charlottesville, VA",1818,2285,36975,2012-11-19 12:31:44,2020-07-16 16:09:29,0,"We may not hit 90° today. 

Me: A bit bummed. If we get so close to the record, might as well beat it. 

Everyone else: 

#vawx #Charlottesville https://t.co/Pa2wUc5bXm","[{'text': 'vawx', 'indices': [122, 127]}, {'text': 'Charlottesville', 'indices': [128, 144]}]"
tmj_VAC_health,"Follow this account for geo-targeted Healthcare job tweets in Charlottesville, VA. Need help? Tweet us at @CareerArc!","Charlottesville, VA",190,265,666,2010-03-07 03:28:08,2020-07-16 15:42:00,0,"Join the CVSCareers team! See our latest job opening here: https://t.co/5fW64kVkyl #Pharmacist #Charlottesville, VA","[{'text': 'Pharmacist', 'indices': [83, 94]}, {'text': 'Charlottesville', 'indices': [95, 111]}]"
CvilleRealtor10,Kris Jensen specializes in working with buyer and sellers in residential sales In Charlottesville/Albemarle and surrounding counties.,"Charlottesville, VA",0,19,1848,2012-08-07 15:02:34,2020-07-16 15:27:50,0,See a virtual tour of my listing on 146 Buckingham Cir #Charlottesville #VA  #realestate https://t.co/JI8NGadINp https://t.co/wWCFQdtvQn,"[{'text': 'Charlottesville', 'indices': [55, 71]}, {'text': 'VA', 'indices': [72, 75]}, {'text': 'realestate', 'indices': [77, 88]}]"
TownRealtyVA,"Town Realty was launched with four central values - integrity, results matter, relationships matter and being the best.","Charlottesville, VA",23,4,34,2015-09-01 06:15:05,2020-07-16 15:27:05,1,"Lake Monticello has been selling fast and no wonder! It's a great spot for first time home buyers. With mortgage rates still low this is a great time to buy! Check out https://t.co/8AhbkE7adv for more info.

#housesold  #realtor #buyeragent #charlottesville #lakemonticello https://t.co/fiBgcuWpMM",[]
ashleyjurney,,"Charlottesville, VA",91,29,209,2012-08-15 17:57:19,2020-07-16 15:26:08,1,"Lake Monticello has been selling fast and no wonder! It's a great spot for first time home buyers. With mortgage rates still low this is a great time to buy! Check out https://t.co/8AhbkE7adv for more info.

#housesold  #realtor #buyeragent #charlottesville #lakemonticello https://t.co/fiBgcuWpMM","[{'text': 'housesold', 'indices': [208, 218]}, {'text': 'realtor', 'indices': [220, 228]}, {'text': 'buyeragent', 'indices': [229, 240]}, {'text': 'charlottesville', 'indices': [241, 257]}, {'text': 'lakemonticello', 'indices': [258, 273]}]"
donomom54,So where are the strong and who are the trusted?,"Cuyahoga Falls, OH",484,198,9885,2017-01-02 16:41:38,2020-07-16 15:20:11,0,"@senrobportman You appreciate tokens of affection from the White Supremacists in our White House.

You appreciate today's Roy Cohn running DOJ

You appreciate big smiling photos from your comms staff since Ohio residents never see you.

#Charlottesville #jamalkhashoggi #RussianBounty","[{'text': 'Charlottesville', 'indices': [237, 253]}, {'text': 'jamalkhashoggi', 'indices': [254, 269]}, {'text': 'RussianBounty', 'indices': [270, 284]}]"
UnitedWayCville,3 Goals. 1 Vision: School readiness. Financial stability. Connected community. This is where we stand and what we stand for. #unitedwereach,"Charlottesville, VA",450,1103,2745,2009-02-25 14:24:05,2020-07-16 14:55:45,0,Visit https://t.co/mCKfxeCEPe to nominate an individual or business for first annual Caring for Community awards! These awards recognize exceptional community work during the current COVID-19 crisis @cville_weekly #unitedway #community #charlottesville #nonprofit #covid19 https://t.co/b1eMzUIyIK,"[{'text': 'unitedway', 'indices': [214, 224]}, {'text': 'community', 'indices': [225, 235]}, {'text': 'charlottesville', 'indices': [236, 252]}, {'text': 'nonprofit', 'indices': [253, 263]}, {'text': 'covid19', 'indices': [264, 272]}]"
tmj_VAC_NURSING,"Follow this account for geo-targeted Healthcare-Nursing job tweets in Charlottesville, VA. Need help? Tweet us at @CareerArc!","Charlottesville, VA",202,279,227,2010-03-07 13:50:12,2020-07-16 14:51:03,0,"If you're looking for work in #Charlottesville, VA, check out this #Nursing job via the link in our bio: medication aide at Morningside of Charlottesville","[{'text': 'Charlottesville', 'indices': [30, 46]}, {'text': 'Nursing', 'indices': [67, 75]}]"
gurple7,"I'm #easilyamused. Interested in too many things. Uses too much punctuation, CAPITAL LETTERS, and hashtags! Buckle up.",Charlottesville VA,489,179,18103,2009-08-08 05:39:47,2020-07-16 14:45:39,0,One woman proceeded to bear claw the doors open and continue through. No care at measures to try and keep people safe. This is in #Charlottesville #Walmart @Walmart.,"[{'text': 'Charlottesville', 'indices': [130, 146]}, {'text': 'Walmart', 'indices': [147, 155]}]"
moniquedhooghe,"army brat & ardent pacifist 
💘 getting  arrested trying to bring an end to nuclear weapons depleted uranium munitions and wars in general
pro social justice
♿","brussels, belgium",4997,2659,231497,2011-10-26 12:45:18,2020-07-16 14:29:15,1,"We don't just ""pass as white,"" we enjoy many aspects of #WhitePrivilege. Yes, yes #Charlottesville. Yes, yes, #Pittsburgh. Yes, yes #JewsWillNotReplaceUs. Anti-semitism is a real problem in U.S. and around the world. Now let's arrest the police who killed #BreonnaTaylor.","[{'text': 'WhitePrivilege', 'indices': [70, 85]}, {'text': 'Charlottesville', 'indices': [96, 112]}, {'text': 'Pittsburgh', 'indices': [124, 135]}]"
